Topic 00		10200.58398597864     Discussions about watching the match
	amp	391.86326702022666
	watch	279.9614410473398
	liv	238.39842675685793
	sport	187.61588377750195
	big	160.70764457260827
	sunday	157.30756455403366
	bar	138.40892991803025
	ticket	138.16567585974522
	start	135.70586698777345
	fre	102.04580871855048
	party	95.69986578146478
	cov	94.22232019587001
	hous	93.16288094097533
	off	90.01695249801922
	clos	89.9815035426604
	tomorrow	86.39647382498077
	com	86.18631455350982
	spec	82.91137860933331
	right	82.77653217964259
	sit	78.43387578760586


Topic 01		8400.056808849484
	mak	593.5304374724367
	amp	425.44636147754574
	check	343.9297169487153
	city	274.36487713068743
	support	273.52726047871954
	doe	229.21169910229133
	bet	191.51922199485588
	hap	153.7706295018578
	look	147.25510107593092
	thing	140.95744497400574
	pack	134.74192381477383
	sur	131.4281098076378
	hom	116.79769460407674
	seattlelov	115.08650719638922
	hoody	109.03257812492518
	work	106.75297585643597
	follow	96.82871793182498
	mat	94.16509545552637
	stat	91.84480784003598
	way	91.0362852788418


Topic 02		8642.085658342827
	lob	460.185465481021
	repet	450.2401954839668
	imin	276.63280164656237
	pet	271.7880395399892
	sbxlix	232.0167412611489
	carrol	229.87240227400844
	bring	225.58800143953596
	sea	224.7342255105282
	hom	193.78772969461488
	seattleseahawk	189.60961317706665
	xlix	130.47118437826717
	whynot	116.53434691047548
	loud	115.12049680150578
	gon	113.9267306098427
	troph	103.52155492547234
	legionofboom	101.09679829263054
	rep	100.30529294509597
	superbowlsunday	99.15235530251933
	nevsse	96.48643492480193
	seahawksn	96.22180914257174


Topic 03		9825.341626721287
	amp	294.77520335569056
	say	274.36883677692305
	hear	266.4320829546572
	think	233.31011071558123
	talk	212.42090316824007
	get	191.94705987270805
	petecarrol	178.08263698281488
	coach	167.4160567856603
	feel	165.65845850883494
	high	157.7836569081066
	littl	144.38263828593125
	loud	141.19384079129085
	head	139.81727437974357
	man	133.09069891589098
	nee	123.76524780664992
	start	112.12921914878389
	bit	93.96963676555991
	excit	90.7630437855438
	sound	87.24233555618764
	school	86.92896914590389


Topic 04		10210.361273537352   | Talking about one of the players
	brady	966.1774760854233
	patriot	755.0427623994367
	bal	645.5975874590497
	tom	541.9375772348537
	deflateg	420.3577677341069
	defl	366.80737713374094
	che	224.31794878942029
	footbal	221.99590497002083
	look	173.23464984390372
	pat	151.35086530761257
	real	120.84807807358641
	belichick	107.44624654778573
	infl	101.78753335890364
	fac	85.58297456663517
	pick	80.76721452094839
	get	80.75984292472364
	hop	70.32638275702622
	press	63.82228701171617
	suck	62.242398403795534
	interceiv	62.012384930169446


Topic 05		8884.840032673834
	nfcchampionship	637.2631766925925
	seavsgb	530.4562484201879
	pack	429.2595000352292
	loud	273.02266316472446
	nflplayoffs	254.64156309519151
	com	254.08975105789477
	way	232.82013929446032
	hop	184.16378960140395
	kick	183.4086722787954
	bet	183.10993168774579
	seahawksvspack	177.82814036169228
	get	168.03665654583128
	lob	153.9077773984522
	seattleseahawk	147.50785557488098
	bam	141.8491396200007
	ass	139.49937659395715
	feel	113.02216092817629
	end	83.01966404576994
	head	82.28669735010594
	soon	81.21457586062314


Topic 06		6536.0805825715615  | Time and durations
	hour	285.68785122593965
	minut	165.1341764007642
	room	137.7436798388544
	die	130.08636251640496
	sleep	129.52389264418966
	til	127.94616096673818
	left	124.05717242256412
	night	100.00559413377961
	ear	99.94204794474769
	excit	97.05938767888377
	kickoff	92.16952369151596
	min	89.1259171696951
	lat	84.22999551229887
	lock	84.12482697318
	hard	75.63354579559348
	start	70.44539661267862
	work	68.04815791780968
	leav	64.86046662020466
	rannfl	60.99389993896556
	ich	58.99844719434723


Topic 07		9011.873805154444   | Edible items
	amp	286.3728593706861
	party	231.89303191263997
	chees	217.8775059774124
	drink	179.88124717263673
	beer	167.16383128176395
	eat	161.4503569222703
	nee	160.10823168643222
	food	156.50592041031996
	wing	113.75189576889066
	skittl	96.29413031360768
	sunday	80.67138275306408
	footbal	77.10782080810804
	mak	76.23577856670198
	friend	63.349790304447495
	snack	63.19199062257104
	chick	61.623591565860494
	pizz	59.10199328033388
	lin	53.49558615070103
	celebr	52.66115537535438
	coff	49.928033526591086


Topic 08		9829.017001250573
	believ	470.6269045548271
	heart	303.9310500398381
	comeback	276.75139063428776
	atlhawk	252.7606599801088
	wow	234.75858382158282
	amaz	231.98842411784636
	best	218.51307716798004
	superbowlbound	212.8531764926409
	hist	181.41768312859165
	nfcchamps	156.72837179539607
	petecarrol	151.47920441724202
	repet	137.98840852958313
	show	130.88453467199759
	hap	122.54004906841845
	fin	116.81196402946186
	word	104.93119150832256
	nfcchampionship	98.76871141915124
	mirac	97.92814271558514
	attack	96.72153667381718
	unbeliev	96.04609700961157


Topic 09		12032.833141928535
	year	674.3570565452279
	gon	495.6461291165451
	hat	300.2517238834223
	hop	275.7301886421241
	right	266.68776848889473
	peopl	256.81374571052675
	los	222.59144650620817
	real	194.09568616025564
	bet	191.00435231470345
	think	181.9371884455909
	lol	176.3780298171852
	mad	163.54769509366463
	said	155.48725790890126
	bad	129.52407043472817
	bro	126.46933616054454
	long	125.03189671790511
	talk	122.36256057417569
	ago	115.21101931485842
	week	112.41404530620287
	sorry	109.03242963393669


Topic 10		6512.29000221834
	green	354.2855123385401
	bay	319.92355703129203
	halftim	282.05442972753525
	commerc	208.1841029993017
	katyperry	178.81781895765772
	katy	155.2054843392872
	perry	125.96135472427838
	watch	97.04893657145027
	pack	95.8590688561693
	half	88.20474719296365
	coin	70.04656989132978
	perform	64.75738750043163
	toss	60.70746804046418
	superbowlsunday	59.197758305582056
	superbow	58.88467777606384
	rock	58.21555268246559
	cam	57.04415851497005
	aliceinchain	55.956109313691684
	komonew	52.69776152812637
	hah	50.96230456184519


Topic 11		9919.284706960501
	thank	755.3960943362079
	look	601.4047180390903
